TIME_S,ACC_VERTICAL_MS2
1152.926208,-10.977793417279683
1152.93402,-10.803567473728474
1152.941832,-10.532247653543292
1152.949644,-10.207189719635153
1152.957456,-9.808677101354967
1152.965268,-9.4915512739788
1152.97308,-8.773225024804027
1152.980892,-8.75171705990011
1152.988704,-8.48213262617794
1152.996516,-8.131268124426565
1153.004328,-8.1931241216236
1153.01214,-8.646362022112811
1153.019952,-9.003071023571875
1153.027764,-8.82179554572059
1153.035576,-8.640308418820766
1153.043388,-9.020308351003996
1153.0512,-9.395069552340642
1153.059012,-9.5931297597431
1153.066824,-9.750954891978122
1153.074636,-9.724957046611348
1153.082448,-9.665504236952469
1153.09026,-9.625717447650047
1153.098072,-9.49419707011798
1153.105884,-9.385917602046844
1153.113696,-9.344175463737118
1153.121508,-9.365833196405625
1153.12932,-9.369777569723215
1153.137132,-9.339863701716363
1153.144944,-9.29103529317483
1153.152756,-9.231209922435037
1153.160568,-9.139053275517124
1153.16838,-9.06581781646834
1153.176192,-8.995328037420176
1153.184004,-8.920558806648483
1153.191816,-8.812224659868466
1153.199628,-8.759424978222292
1153.20744,-8.765196638112183
1153.215252,-8.883295725262354
1153.223064,-9.021549502179518
1153.230876,-9.145112070981753
1153.238688,-9.2858488670814
1153.2465,-9.319730639518742
1153.254312,-9.308521157004261
1153.262124,-9.149619717464269
1153.269936,-8.90545444630118
1153.277748,-8.669544411877517
1153.28556,-8.467499025374876
1153.293372,-8.311767999294533
1153.301184,-8.250734437357169
1153.308996,-8.145973071019089
1153.316808,-7.955222390669341
1153.32462,-7.972709354533944
1153.332432,-7.910220730722728
1153.340244,-7.819484919778914
1153.348056,-7.778684358203812
1153.355868,-7.700143023020662
1153.36368,-7.739775176421839
1153.371492,-7.986792263347433
1153.379304,-8.429686012678566
1153.387116,-9.322199305814166
1153.394928,-10.516787647270263
1153.40274,-11.524026047937728
1153.410552,-12.361116204507095
1153.418364,-13.242406974983899
1153.426176,-13.840267123172671
1153.433988,-13.5323564270125
1153.4418,-12.763298935123036
1153.449612,-12.620836416636134
1153.457424,-12.43355027365651
1153.465236,-12.137557405114357
1153.473048,-11.612349784955558
1153.48086,-10.867460094818673
1153.488672,-9.954595661846792
1153.496484,-9.086875904784467
1153.504296,-8.415848352942048
1153.512108,-8.033518588915276
1153.51992,-7.748604242526721
1153.527732,-7.496764382275934
1153.535544,-7.533276921133877
1153.543356,-7.5252890907918495
1153.551168,-7.743942063977436
1153.55898,-8.185872432868438
1153.566792,-8.392091738404133
1153.574604,-8.595407133644445
1153.582416,-8.72444804157534
1153.590228,-9.066162824264502
1153.59804,-9.314348598682335
1153.605852,-9.517747063564133
1153.613664,-9.590890126000104
1153.621476,-9.413244066150508
1153.629288,-9.257262127740042
1153.6371,-9.105349375681948
1153.644912,-8.939892696842989
1153.652724,-8.801548771509637
1153.660536,-8.705238046687615
1153.668348,-8.678096359906375
1153.67616,-8.729638684885197
1153.683972,-8.787954863925744
1153.691784,-8.834076698901892
1153.699596,-8.91943669303895
1153.707408,-9.129753207745441
1153.71522,-9.151539684867956
1153.723032,-9.10262590570445
1153.730844,-9.125731040683089
1153.738656,-9.085101349505738
1153.746468,-9.071169593916512
1153.75428,-9.26283145060737
1153.762092,-9.197458838342353
1153.769904,-9.318231275044102
1153.777716,-9.388773488259746
1153.785528,-9.428228985845266
1153.79334,-9.394309194772841
1153.801152,-9.348333859953275
1153.808964,-9.263987875204482
1153.816776,-9.31550936269864
1153.824588,-9.36846304733327
1153.8324,-9.403645645438457
1153.840212,-9.463428235823107
1153.848024,-9.451418204974102
1153.855836,-9.36452387066759
1153.863648,-9.272676581169508
1153.87146,-9.060803056755256
1153.879272,-8.938936097054633
1153.887084,-8.766371599540182
1153.894896,-8.674545179084124
1153.902708,-8.489516905537185
1153.91052,-8.49513874520234
1153.918332,-8.466307039862787
1153.926144,-8.59202178762732
1153.933956,-8.884664097506146
1153.941768,-9.21214503333682
1153.94958,-9.363992424455539
1153.957392,-9.553631740420176
1153.965204,-9.88229396831301
1153.973016,-10.532601404843097
1153.980828,-11.38732018648365
1153.98864,-12.100096110740932
1153.996452,-12.473615976663432
1154.004264,-12.191063474574346
1154.012076,-11.293821781091541
1154.019888,-10.267984205822351
1154.0277,-9.467148528153377
1154.035512,-9.252842921202458
1154.043324,-9.325310266878565
1154.051136,-9.36573214576102
1154.058948,-9.792517396982799
1154.06676,-10.211860072377823
1154.074572,-10.31862130143126
1154.082384,-10.49373489712912
1154.090196,-10.5549226977159
1154.098008,-10.289493931861017
1154.10582,-9.931732743272647
1154.113632,-9.543299272599231
1154.121444,-9.370133965917569
1154.129256,-9.65044005345639
1154.137068,-10.035290605522581
1154.14488,-10.45768223983079
1154.152692,-10.814923284118802
1154.160504,-11.286127866771604
1154.168316,-11.609809402313466
1154.176128,-11.743521690368652
1154.18394,-11.671829288952972
1154.191752,-11.275819467711027
1154.199564,-10.622587496234525
1154.207376,-9.889083829343594
1154.215188,-9.1821167483367
1154.223,-8.742706520005376
1154.230812,-8.303284183625252
1154.238624,-7.924778254682423
1154.246436,-7.755497378189483
1154.254248,-7.5930047035217285
1154.26206,-7.555927813442205
1154.269872,-7.427394638808546
1154.277684,-7.520601284670289
1154.285496,-7.862433434020965
1154.293308,-8.220068323464211
1154.30112,-8.619204762618825
1154.308932,-8.984759678183856
1154.316744,-9.404724080807968
1154.324556,-9.678195690568577
1154.332368,-9.894963442188333
1154.34018,-10.258840126137226
1154.347992,-10.298080182423334
1154.355804,-10.014052532436812
1154.363616,-9.88040328053282
1154.371428,-9.998842852743948
1154.37924,-9.993975824634138
1154.387052,-9.715590848154761
1154.394864,-9.31271732300539
1154.402676,-8.933625584556943
1154.410488,-8.64328204724829
1154.4183,-8.373056738504477
1154.426112,-8.159571030783274
1154.433924,-8.02098417208867
1154.441736,-7.913762799393242
1154.449548,-7.82400326794743
1154.45736,-7.8076710492872206
1154.465172,-7.9567733992690375
1154.472984,-8.168037080789187
1154.480796,-8.520937791695198
1154.488608,-8.649796330027065
1154.49642,-8.638511025269196
1154.504232,-8.688268126132897
